5대 역량,Keyword
몰입촉진,"공정한 평가
균등한 기회부여"
몰입촉진,"자율적 업무권한 부여
믿고 맡김
마이크로매니징"
몰입촉진,"다양성, 차이 존중
수평적, 유연한 관계 및 분위기
경직적, 고압적, 관료적 분위기 "
몰입촉진,"고민, 고충 청취 및 해결
부서원 관심/배려
스트레스, 마음건강 관리"
몰입촉진,"부서원 의견 경청/존중
원활한 대화
활발한 소통, 공감"
몰입촉진,"칭찬, 인정, 격려 자존감, 사기 고취
질책, 비난 X"
몰입촉진,
미래통찰,"변화, 도전, 혁신 실천
변화, 도전 환경 조성
실수, 실패도 용인"
미래통찰,"조직/부서 비전 수립/공유
중장기/미래 준비"
미래통찰,"신규 시장/고객 발굴/개척
사업 확장/강화"
미래통찰,"전략/분석적 사고/행동
거시적/다각적 관점"
성과창출,"도전적 목표수립
구체적이고 명확한 목표
목표 달성을 위한 계획수립 및 실행
목표 열정적 추진"
성과창출,"문제에 빠르고 적극적으로 대응
개선 및 해결방안을 제시
문제를 논리적, 다각적으로 분석
문제에 책임을 짐"
성과창출,"보고 효율화
업무 효율화
불필요 업무 관행
자료 준비 및 문서작성
회의 효율화"
성과창출,"업무관심, 이해
일정 및 진행관리
리스크 관리
명확/합리적 업무지시
업무 면담/피드백
과도한 근무강도
현장중심 업무관리
업무 환경 조성 및 개선"
성과창출,"공정한 배분
부서원 특성별 배분
명확한 R&R 제시"
성과창출,"의사결정 빠름/과감
업무/결정사항을 효과적으로 추친/실행
의사결정이 논리적/명확
성과창출에 집중"
성과창출,"부서 내/외 현황/업무
공유
적시, 자주 공유
정확, 투명한 공유"
성과창출,"부서간 화합/협업/조율
대내외 넓은 네트워킹
대외 업무 활동 및 협의
상사와 소통 및 의견 업무 조율"
인재육성,"부서원 양성/육성 노력
코칭/멘토링
부서 내 지식/노하우 공유
부서원 경력/역량 개발
사내/외 강의/학회/어학 등 학습 기회"
인재육성,"우수인재 확보
적시 인력충원
인재확보/유지"
자기관리,"경험, 노하우, 전문성"
자기관리,"어학능력
글로벌 역량
이문화 이해, 경험, 지식"
자기관리,"대화법/의사표현 스킬
논리적 설명/설득"
자기관리,애사심/로열티
자기관리,"열정/적극적
소극적
근면성실
포기없이 노력/끈기"
자기관리,"인성
롤모델
도덕성
원칙준수"
자기관리,"스트레스 관리
감정기복
건강관리"
자기관리,"자신감
자기과신"
자기관리,"업무 전문성
직무 기술"
자기관리,"긍정성
긍정 마인드"
자기관리,"창의성
유연성"
자기관리,"신기술/트렌드 파악
자기개발/학습
새로운 업무이해"
자기관리,"업무완수 책임감/꼼꼼함
부서원 부담 덜어주기
사장 마인드/주인의식
의사결정에 책임짐"
